method,model,score_col,threshold,confirm_frames,num_videos,num_detected,num_missed,num_early,num_late,mae_s,mean_error_s,median_abs_error_s,max_abs_error_s,within_1.0s,within_2.0s
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.4,2,3,3,0,2,1,12.366666666666667,-11.566666666666665,1.8999999999999986,34.0,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.4,3,3,3,0,2,1,12.366666666666667,-11.566666666666665,1.8999999999999986,34.0,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.5,2,3,3,0,2,1,12.433333333333335,-11.299999999999999,1.6999999999999993,34.0,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.6,1,3,3,0,2,1,12.466666666666667,-11.266666666666667,1.8000000000000007,34.0,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.6,2,3,3,0,2,1,12.466666666666667,-11.266666666666667,1.8000000000000007,34.0,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.6,3,3,3,0,2,1,12.499999999999998,-10.833333333333334,2.4999999999999964,33.4,0.0,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.6,5,3,3,0,2,1,12.499999999999998,-10.833333333333334,2.4999999999999964,33.4,0.0,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.7,3,3,3,0,2,1,12.499999999999998,-10.833333333333334,2.4999999999999964,33.4,0.0,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.4,5,3,3,0,2,1,12.533333333333333,-11.399999999999999,1.8999999999999986,34.0,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.4,7,3,3,0,2,1,12.533333333333333,-11.399999999999999,1.8999999999999986,34.0,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.4,10,3,3,0,2,1,12.533333333333333,-11.399999999999999,1.8999999999999986,34.0,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.3,7,3,3,0,2,1,12.566666666666668,-11.433333333333332,2.0,34.0,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.3,10,3,3,0,2,1,12.566666666666668,-11.433333333333332,2.0,34.0,0.0,0.6666666666666666
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.7,1,3,3,0,2,1,12.700000000000001,-11.033333333333337,2.4999999999999964,34.0,0.0,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.7,2,3,3,0,2,1,12.700000000000001,-11.033333333333337,2.4999999999999964,34.0,0.0,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.3,1,3,3,0,2,1,12.733333333333334,-12.066666666666668,3.200000000000003,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,GradientBoosting,score_binary_GradientBoosting,0.3,2,3,3,0,2,1,12.733333333333334,-12.066666666666668,3.200000000000003,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.4,10,3,3,0,2,0,13.133333333333333,-13.133333333333333,5.399999999999999,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.5,1,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.5,2,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.5,3,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.5,5,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.5,7,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.6,1,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.6,2,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.6,3,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.6,5,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.6,7,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.7,1,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.7,2,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.7,3,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.7,5,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.7,7,3,3,0,2,0,13.433333333333332,-13.433333333333332,6.299999999999997,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.4,1,3,3,0,2,0,13.466666666666667,-13.466666666666667,6.399999999999999,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.4,2,3,3,0,2,0,13.466666666666667,-13.466666666666667,6.399999999999999,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.4,3,3,3,0,2,0,13.466666666666667,-13.466666666666667,6.399999999999999,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.4,5,3,3,0,2,0,13.466666666666667,-13.466666666666667,6.399999999999999,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.4,7,3,3,0,2,0,13.466666666666667,-13.466666666666667,6.399999999999999,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.3,1,3,3,0,3,0,13.533333333333333,-13.533333333333333,6.5,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.3,2,3,3,0,3,0,13.533333333333333,-13.533333333333333,6.5,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.3,3,3,3,0,3,0,13.533333333333333,-13.533333333333333,6.5,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.3,5,3,3,0,3,0,13.533333333333333,-13.533333333333333,6.5,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.3,7,3,3,0,3,0,13.533333333333333,-13.533333333333333,6.5,34.0,0.3333333333333333,0.3333333333333333
cv_binary_ml,LogisticRegression,score_binary_LogisticRegression,0.3,10,3,3,0,3,0,13.533333333333333,-13.533333333333333,6.5,34.0,0.3333333333333333,0.3333333333333333
